Symbol,Name,Country,Sector,Industry,Address
AAPL,Apple Inc,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US"
DELL,Dell Technologies Inc.,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US"
NTAP,NetApp Inc,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"3060 OLSEN DRIVE, SAN JOSE, CA, UNITED STATES"
QMCO,Quantum Corporation,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"224 AIRPORT PARKWAY, SUITE 550, SAN JOSE, CA, UNITED STATES"
ACNB,ACNB Corporation,USA,FINANCE,STATE COMMERCIAL BANKS,"16 LINCOLN SQUARE, P O BOX 3129, GETTYSBURG, PA, US"
BCML,BayCom Corp,USA,FINANCE,STATE COMMERCIAL BANKS,"500 YGNACIO VALLEY ROAD, SUITE 200, WALNUT CREEK, CA, US"
MYFW,First Western Financial Inc,USA,FINANCE,STATE COMMERCIAL BANKS,"1900 SIXTEENTH ST, #1200, DENVER, CO, US"
ADUS,Addus HomeCare Corporation,USA,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,"6801 GAYLORD PARKWAY, SUITE 110, FRISCO, TX, US"
CAH,Cardinal Health Inc,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","7000 CARDINAL PLACE, DUBLIN, OH, US"
CMAX,CareMax Inc,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"780 THIRD AVENUE, 37TH FLOOR, NEW YORK, NY, US"
AA,Alcoa Corporation,USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,"201 ISABELLA STREET, SUITE 500, PITTSBURGH, PA, US"
AGI,Alamos Gold Inc,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"181 BAY STREET, SUITE 3910, TORONTO, A6, CANADA"
ASM,Avino Silver & Gold Mines Ltd,USA,ENERGY & TRANSPORTATION,METAL MINING,"SUITE 900, 570 GRANVILLE STREET, VANCOUVER, BC, CANADA"
BHP,BHP Group,USA,ENERGY & TRANSPORTATION,METAL MINING,"16/171 COLLINS STREET, MELBOURNE, VICTORIA AUSTRALIA, AU"
CDE,Coeur Mining Inc,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"104 SOUTH MICHIGAN AVENUE, SUITE 900, CHICAGO, IL, US"
FSM,Fortuna Silver Mines Inc,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"200 BURRARD ST, SUITE 650, VANCOUVER, BC, CA"
AAC,Ares Acquisition Corporation,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"245 PARK AVENUE, 44TH FLOOR, 245 PARK AVENUE, 42ND FLOOR, NEW YORK, NY, UNITED STATES"
BWC,Blue Whale Acquisition Corp I,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"PO BOX 1093, BOUNDARY HALL, GRAND CAYMAN, KY"
A,Agilent Technologies Inc,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US"
AAL,American Airlines Group Inc,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","1 SKYVIEW DRIVE, FORT WORTH, TX, US"